,artist,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,duration_ms,time_signature,melodic_dubstep?
0,illenium,Starfall - Trivecta Remix,0.51,0.915,3,-4.579,0,0.0696,0.0151,0.373,0.136,0.104,145.948,audio_features,spotify:track:3K7fjBc8sXoSW4f0YpsKb3,226849,4,True
1,illenium,Starfall - Lost Prince Remix,0.615,0.881,2,-6.369,0,0.0405,0.252,0.874,0.126,0.0733,127.973,audio_features,spotify:track:6ql39mECUr4nxyAURzr7gQ,207077,4,True
2,illenium,Starfall - Gem & Tauri Remix,0.572,0.807,3,-7.245,0,0.0487,0.0161,0.00991,0.105,0.187,124.101,audio_features,spotify:track:13SQL48yaxS8944jyvXnTq,265996,4,True
3,illenium,Starfall - 3THOS x Draeden Remix,0.531,0.914,3,-4.116,0,0.123,0.0168,0.501,0.0903,0.164,146.051,audio_features,spotify:track:4qHgsJwf3WOysuJVCGj7gv,241644,4,True
4,illenium,Starfall - VLCN Remix,0.43,0.931,3,-2.483,0,0.0769,0.0059,0.239,0.259,0.175,146.107,audio_features,spotify:track:31cuMPZprQfs9Rcw1NTqZG,194000,4,True
5,illenium,All That Really Matters - Will Clarke Remix,0.593,0.755,1,-6.608,1,0.0333,0.00603,4.96e-05,0.0897,0.278,130.021,audio_features,spotify:track:67stT9mRSOt6eO1bjB2AlH,229663,4,True
6,illenium,All That Really Matters - Mike Williams Remix,0.623,0.897,10,-5.27,0,0.171,0.0529,0.00191,0.13,0.581,124.066,audio_features,spotify:track:4PaO2lfUtNOso7ruTbPovz,201466,4,True
7,illenium,All That Really Matters - Crystal Skies Remix,0.373,0.624,1,-6.812,1,0.0873,0.0603,0.0,0.0955,0.298,169.138,audio_features,spotify:track:2K2PkhEA8wVp162OQEZrOb,272118,4,True
8,illenium,Worst Day - Nikademis Remix,0.433,0.818,2,-4.927,1,0.0594,0.00315,0.0,0.147,0.25,150.141,audio_features,spotify:track:1XyFYTrlOmdQTwUVDAl7wb,211245,4,True
9,illenium,Worst Day - Tungevaag Remix,0.535,0.869,2,-3.097,1,0.0406,0.0149,0.0,0.439,0.529,155.02,audio_features,spotify:track:6cjTfylmzQS83eVV763tl3,188903,4,True
10,illenium,Worst Day - FIGHT CLVB x Tannergard Remix,0.693,0.79,2,-6.593,1,0.0354,0.000227,0.0507,0.063,0.291,126.026,audio_features,spotify:track:4PRfbfLntAgxAkWV72CKfR,304762,4,True
11,illenium,From the Ashes - Jessica Audiffred Remix,0.445,0.767,2,-4.494,1,0.0488,0.00822,0.00853,0.121,0.129,154.766,audio_features,spotify:track:4qMlJY9PeYrKh5I7rBnMyB,267254,4,True
12,illenium,From the Ashes - Paul van Dyk Remix,0.574,0.967,11,-5.562,0,0.0433,0.000219,0.0342,0.147,0.0418,140.018,audio_features,spotify:track:54qt0W69bdDuWRimXd7gXt,253714,4,True
13,illenium,Lifeline - Caslow Remix,0.511,0.908,2,-4.747,1,0.0894,0.00212,1.96e-05,0.156,0.338,150.022,audio_features,spotify:track:73EOBOY42l6Eb11FFRbaP6,248000,4,True
14,illenium,Eyes Wide Shut (feat. Travis Barker) - Vanic Remix,0.446,0.914,1,-3.897,0,0.0535,0.00167,3.67e-06,0.424,0.207,90.046,audio_features,spotify:track:5iT6ebVRebv7V5tHquvcrn,233333,4,True
15,illenium,Eyes Wide Shut (feat. Travis Barker) - Culture Code Remix,0.492,0.675,1,-4.993,0,0.0577,0.0588,0.0,0.127,0.381,90.223,audio_features,spotify:track:1eRnt1SeS6PeO68TfaPprh,218794,4,True
16,illenium,Eyes Wide Shut (feat. Travis Barker) - Sickick Remix,0.63,0.876,4,-4.64,1,0.0369,0.0219,0.0674,0.503,0.235,90.0,audio_features,spotify:track:05aOehHcLLV6iFKhE0KQsf,154200,4,True
17,illenium,Shivering - INHUMAN Remix,0.641,0.868,9,-6.012,1,0.0942,0.00389,0.522,0.335,0.121,150.008,audio_features,spotify:track:6B7TSNK7d0T6fsvdaBLDFY,201600,4,True
18,illenium,You Were Right - Kill The Noise Remix,0.526,0.91,0,-1.334,1,0.265,0.0776,1.53e-06,0.121,0.338,72.388,audio_features,spotify:track:0wvg5G8YGHDY7iEfixCwTy,162207,4,True
19,illenium,You Were Right - Awakend Remix,0.432,0.648,0,-4.773,1,0.0328,0.0967,0.0,0.309,0.191,149.993,audio_features,spotify:track:1yrgtJKFg9lhyqMlayRsUx,236800,4,True
20,illenium,You Were Right - Stryer Remix,0.494,0.815,0,-3.739,1,0.111,0.199,1.07e-06,0.16,0.28,149.85,audio_features,spotify:track:6nUiFGo0poZfJ0SINWPMzO,192000,4,True
21,illenium,You Were Right - L D R U Remix,0.467,0.756,3,-5.99,1,0.199,0.045,0.0,0.146,0.295,181.152,audio_features,spotify:track:1MotCPd1YwsKOTQECfsMnc,194590,4,True
22,illenium,You Were Right - Friendzone Remix,0.457,0.568,0,-6.799,1,0.0392,0.138,0.0,0.115,0.311,163.969,audio_features,spotify:track:2uwvK2FbHdQ7J3BqBqVQCP,216647,4,True
23,illenium,You Were Right - Bass Physics Remix,0.476,0.765,0,-4.917,1,0.0371,0.0195,0.0,0.0956,0.249,149.793,audio_features,spotify:track:7rf0k7JWrSTBe4smElPtQB,246073,4,True
24,illenium,Insanity (feat. American Teeth) - Mazare Remix,0.489,0.909,11,-4.788,0,0.0563,0.000128,9.49e-06,0.663,0.435,90.037,audio_features,spotify:track:64KI0kXZVcpcM0uc5FShcA,192667,4,True
25,illenium,Drwn - CHENDA Remix,0.392,0.98,5,-3.785,0,0.0849,0.00648,0.61,0.088,0.109,112.386,audio_features,spotify:track:0RYaQZibqNM2xOjQ5U4Hj2,197717,3,True
26,illenium,Other Side (feat. Vera Blue) - Cadmium Remix,0.37,0.742,1,-3.86,0,0.0561,0.0943,0.000121,0.107,0.258,164.236,audio_features,spotify:track:3ZEhhjnSnkcLY42jv0rdtw,248781,4,True
27,illenium,Other Side (feat. Vera Blue) - SadBois & NIO Remix,0.474,0.773,1,-4.785,0,0.0396,0.129,3.73e-05,0.174,0.175,163.958,audio_features,spotify:track:0VG0M5w3IrW2gcjPiVMLtN,228384,4,True
28,illenium,Other Side (feat. Vera Blue) - if found Remix,0.587,0.811,1,-5.42,0,0.0692,0.00287,5.49e-06,0.599,0.241,134.851,audio_features,spotify:track:1R1Qratr1sZ6zGdKRHEA31,197333,4,True
29,illenium,Other Side (feat. Vera Blue) - Zeroic Remix,0.376,0.811,1,-3.9,0,0.0562,0.0171,0.0018,0.158,0.317,154.905,audio_features,spotify:track:1qkMYW6Zo7Bzuh5XXEueMM,222968,4,True
30,illenium,Other Side (feat. Vera Blue) - Tep No Remix,0.497,0.767,1,-4.436,0,0.172,0.0735,0.00419,0.37,0.734,133.719,audio_features,spotify:track:6QBBFGzPJZ5C2pLtgpprDH,206946,4,True
31,illenium,I Want You 2 (Stay) - Slow Magic Remix,0.585,0.879,11,-6.016,1,0.0484,0.0793,0.84,0.347,0.324,142.024,audio_features,spotify:track:45VQ9bNqtFe99XJb2NyTPq,236620,4,True
32,illenium,I Want You 2 (Stay) - 9 Worlds Remix,0.376,0.913,1,-4.393,0,0.0651,0.0103,0.00225,0.122,0.166,141.959,audio_features,spotify:track:3ac37AloGyqbauST4IgT2W,250141,4,True
33,illenium,I Want You 2 (Stay) - MashBit Remix,0.344,0.658,1,-6.366,0,0.0414,0.0394,0.227,0.283,0.155,127.422,audio_features,spotify:track:2KuIppKgCHxxdRaWarYuhv,228755,4,True
34,illenium,With All My Heart - Surf Mesa Remix,0.766,0.859,9,-5.145,1,0.0643,0.0258,0.624,0.118,0.338,123.003,audio_features,spotify:track:1DoI2FjAkyaWnPhXM2Dwtr,150244,4,True
35,illenium,With All My Heart - Cedric Gervais Remix,0.645,0.911,6,-6.843,0,0.0476,0.0243,0.0335,0.0592,0.0341,125.011,audio_features,spotify:track:4GRYCbkY21plraVBPIhfyB,182084,4,True
36,illenium,Back to You - NURKO Remix,0.427,0.87,5,-3.486,1,0.14,0.014,0.0,0.174,0.479,157.166,audio_features,spotify:track:0MXoFXSwwhpfFlzNh2TkTd,214999,4,True
37,illenium,Back to You - Awon Remix,0.446,0.842,2,-3.725,0,0.0516,0.00902,0.0,0.0806,0.274,81.992,audio_features,spotify:track:2Zrd9OPOxJDqXMTC2aPQAv,228453,4,True
38,illenium,Back to You - Youth In Circles Remix,0.374,0.729,5,-5.492,1,0.0432,0.00049,0.0,0.161,0.48,164.237,audio_features,spotify:track:5YJTQnUd8o3wG6yPE3y3bK,204760,4,True
39,illenium,Back to You - ryscu Remix,0.448,0.751,2,-2.772,0,0.0541,0.00402,1.47e-05,0.22,0.212,173.903,audio_features,spotify:track:4VTfEx0jd5t2kQEgXTkaC1,215172,4,True
40,illenium,Nothing Ever After - Caster Remix,0.565,0.98,2,-4.507,1,0.0906,0.000815,0.0111,0.0982,0.183,135.0,audio_features,spotify:track:6CqrjDSuz3cbQBXpfWX2iZ,248889,4,True
